age,Female,Male
0-17 years,NA,NA
1-4 years,0,0
15-24 years,NA,NA
18-29 years,NA,NA
25-34 years,NA,10
30-49 years,21,64
35-44 years,NA,27
45-54 years,39,80
5-14 years,NA,0
50-64 years,117,175
55-64 years,89,124
65-74 years,138,220
75-84 years,168,251
85 years and over,152,141
All Ages,604,859
Under 1 year,0,0
